,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10
3455,0.2637362637362637,0.10241371531694113,0.042281081836606324,0.05093809480648963,0.020460687170248362,0.2804314329738058,0.05775044303137705,0.1420610182299046,0.05191701965895514,0.03517163759144626
3557,0.0,0.0027069704489058877,0.0009784051995247664,0.0014501948699356532,0.003560245356667952,0.37750385208012305,0.0007296987386636172,0.0,0.0,0.03517163759144626
1238,0.21001221001220993,0.11482066320775994,0.08407296107345025,0.16332819722650233,0.10860893063955734,0.2804314329738058,0.05128739706035651,0.17351468782469068,0.09715433908982296,0.03517163759144626
11871,0.23565323565323548,0.12858109632303175,0.09839960863792016,0.18607812924861777,0.12199202161883929,0.2804314329738058,0.05608256020014593,0.24435628601114576,0.10394265232974911,0.03517163759144626
3304,0.38949938949938945,0.25761335438754795,0.14599203298623242,0.17003534849995466,0.12220649423068675,0.18952234206471474,0.13718336286875848,0.3498630395768395,0.24964700771152384,0.23747889701744512
334,0.42735042735042716,0.4112339273629596,0.6645467887343628,0.6620139581256231,0.47454210097370575,0.4083204930662556,0.39706035650995525,0.587324076697837,0.48408819376561313,0.5174451322453573
5496,0.38217338217338215,0.17753214527408076,0.05311342511705919,0.06154264479289405,0.029511431390211472,0.2804314329738058,0.10757844261440636,0.189288750354208,0.12430759204952754,0.061620709060213885
8746,0.2490842490842491,0.12203925107150912,0.06247816059822488,0.0641711229946524,0.024149616094024794,0.2804314329738058,0.05295527989158763,0.15254557476149996,0.0754317367220593,0.03517163759144626
1320,0.27716727716727707,0.13399503722084363,0.05583898245859248,0.060726910178555235,0.024149616094024794,0.2804314329738058,0.07213593245074534,0.1944838008878814,0.08205713044422722,0.061620709060213885
115,0.1855921855921856,0.053237085495149994,0.04270039835068837,0.07541013323665367,0.036417449491699914,0.18335901386748854,0.027728552069217136,0.07178615282894117,0.011512979254914742,0.03517163759144626
3386,0.3528693528693527,0.3079178885630498,0.5009434621566846,0.6643705247892686,0.5774889546604899,0.2804314329738058,0.22662357969352653,0.5624822896004535,0.4718692299337461,0.4133370849746763
10605,0.3589743589743588,0.267538912700203,0.19078901390733102,0.38412036617420464,0.3489040449534595,0.2804314329738058,0.12446575628062129,0.44233493907622556,0.27886390789616594,0.19358469330332018
9215,0.28937728937728924,0.24114595082337018,0.2861136347753162,0.3521254418562494,0.26864839360013726,0.35901386748844355,0.1648076722610237,0.4332672145083593,0.3516889323340936,0.325267304445695
12091,0.597069597069597,0.32934807128355514,0.12663358725277793,0.12761714855433698,0.07240595375970489,0.45146379044684126,0.22224538726154486,0.3687541324265609,0.2756055175410014,0.23747889701744512
11728,0.0073260073260073,0.014211594856756132,0.0020266964847298827,0.0029910269192422803,0.003560245356667952,0.37750385208012305,0.0014593974773272206,0.0,0.0,0.03517163759144626
8330,0.2515262515262515,0.13467177983307013,0.061220211055978746,0.05900480377050667,0.032728520567923476,0.34206471494607094,0.08954445950171999,0.1790875602153585,0.0932985771695449,0.10551491277433878
7421,0.2490842490842491,0.20324836453868714,0.2472569711370466,0.4017946161515453,0.267232874361944,0.21109399075500757,0.1005941832586261,0.3027297629167847,0.2510046703595091,0.3970174451322453
1523,0.24542124542124522,0.12361831716670427,0.05835488154308477,0.05537931659566754,0.024149616094024794,0.16178736517719572,0.06369227561763785,0.1971285538868424,0.08629303790594112,0.03517163759144626
957,0.19780219780219777,0.12226483194225132,0.16080788315046474,0.32520619958306896,0.20241925106163944,0.2804314329738058,0.045762535181903485,0.21129687352413337,0.163788421852938,0.28137310073157
11287,0.19780219780219777,0.06902774644710127,0.033894751554965394,0.07477567298105682,0.03487324668639815,0.2804314329738058,0.03189825914729491,0.07905922357608389,0.031226240903660253,0.03517163759144626
12445,0.2344322344322345,0.11842995713963453,0.04654413306310712,0.04604368712045681,0.020460687170248362,0.22958397534668706,0.057854685708328996,0.11277982431283651,0.04284783317041382,0.03517163759144626
12172,0.2417582417582418,0.11910669975186103,0.034523726326088466,0.053022749932022106,0.018787800797838115,0.2804314329738058,0.04659647659751903,0.11844715216775292,0.03660258498968177,0.03517163759144626
12241,0.21001221001220993,0.09880442138506654,0.08344398630232719,0.18063989848635909,0.1153004761291983,0.2804314329738058,0.046492233920567075,0.18532162085576653,0.07678939937004453,0.03517163759144626
